NUM_LIGHTS_TO_LOAD
18

//			pos.x	pos.y	pos.z			atten.x	atten.y		atten.z	diff.x	diff.y	diff.z	type
LIGHTS_BEGIN                        
			18.0	50.0	  0.0			0.0		0.00097678	0.0		0.1		0.1		0.1		POINT
			-122.699 -34.5001 -167.802		0.0		1.81716		0.0		1.0		0.1		0.0		SPOT
			-132.699 -34.5001 -173.802		0.0		1.81716		0.0		1.0		0.1		0.0		SPOT
			-122.699 -34.5001 -170.602		0.0		1.81716		0.0		1.0		0.1		0.0		SPOT
			-122.699 -34.5001 -176.802		0.0		1.81716		0.0		1.0		0.1		0.0		SPOT		
			-122.699 -34.5001 -159.501		0.0		1.81716		0.0		1.0		0.1		0.0		SPOT
			-137.009 -34.1001 -184.302		0.0		1.81716		0.0		1.0		0.1		0.0		SPOT
			-138.199 -34.3001 -177.202		0.0		1.81716		0.0		1.0		0.1		0.0		SPOT
			-138.199 -34.3001 -170.001		0.0		1.81716		0.0		1.0		0.1		0.0		SPOT
			-138.199 -34.3001 -167.401		0.0		1.81716		0.0		1.0		0.1		0.0		SPOT
			-138.199 -34.3001 -159.6		0.0		1.81716		0.0		1.0		0.1		0.0		SPOT
			-132.998 -34.3001 -158.1		0.0		1.81716		0.0		1.0		0.1		0.0		SPOT
			-127.998 -34.3001 -158.1		0.0		1.81716		0.0		1.0		0.1		0.0		SPOT
			-132.699 -34.1001 -184.302		0.0		1.81716		0.0		1.0		0.1		0.0		SPOT
			0.0		 20.0	  0.0			0.0		0.9716		0.0		1.0		1.0		1.0		SPOT
			-131.699 -10.3001 -171.201		0.0		0.978638	0.0		0.7		1.0		0.0		SPOT
			1.29998	-0.799955 -78.3994		0.0		0.35939		0.0		1.0		1.0		1.0		POINT
			3.69998	-2.20004 -76.1994		0.0		0.35939		0.0		1.0		0.0		0.0		SPOT
LIGHTS_END	
